"Source:","C:\Users\fafa\Desktop\Kicad\ADAU1492\Adau1492\Adau1492.kicad_sch"
"Date:","16/12/2022 10:38:52"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","170"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"X101, ","1","MicroMatch14","Conn_02x07_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Vertical","",""
"X102, ","1","HDR_02x08","Conn_02x08_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical","",""
"X103, X503, ","2","Conn_01x03","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","",""
"X104, ","1","CON_MicroMatch-10G","CON_MicroMatch-10G-rk","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","",""
"X105, ","1","CON_MicroFit3_02x02","CON_MicroFit3_02x02","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","",""
"X106, ","1","Conn_01x02","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"X401, ","1","HDR_01x05","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"X402, ","1","CON_HDR_02x10","CON_HDR_02x10-rk","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical","",""
"X501, ","1","Conn_01x04","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","",""
"X502, ","1","Conn_01x05","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","",""
"X504, ","1","HDR_01x06","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Y101, ","1","24M576","CRYSTAL_SMD","SamacSys_Parts:XRCGB24M576F3M02R0","",""
